Vazão – Efeito hall,Volume – Hall,Volume – Reed,Secundos,,
21.33,1.07,0,1,,
21.33,1.42,1,2,,
21.33,1.78,1,3,,
21.5,2.14,1,4,,
21.33,2.49,2,5,,
21.33,2.85,2,6,,
21.5,3.21,2,7,,
21.33,3.56,3,8,,
21.5,3.92,3,9,,
21.33,4.28,3,10,,
21.33,4.63,4,11,,
21.33,4.99,4,12,,
21.33,5.34,4,13,,
21.33,5.7,4,14,,
21.5,6.06,4,15,,
21.33,6.41,4,16,,
21.33,6.77,4,17,,
21.5,7.13,5,18,,
21.33,7.48,5,19,,
21.33,7.84,5,20,,
21.33,8.19,6,21,,
21.5,8.55,6,22,,
21.33,8.91,6,23,,
21.33,9.26,7,24,,
21.33,9.62,7,25,,
21.33,9.97,7,26,,
21.33,10.33,7,27,,
21.33,10.69,7,28,,
21.33,11.04,7,29,,
21.33,11.4,7,30,,
21.33,11.75,8,31,,
21.33,12.11,8,32,,
21.33,12.46,8,33,,
21.33,12.82,9,34,,
21.17,13.17,9,35,,
21.33,13.53,9,36,,
21.33,13.88,10,37,,
21.33,14.24,10,38,,
21.17,14.59,10,39,,
21.33,14.95,11,40,,
21.33,15.3,11,41,,
21.17,15.66,11,42,,
21.33,16.01,11,43,,
21.33,16.37,11,44,,
21.33,16.72,11,45,,
21.17,17.07,11,46,,
21.33,17.43,12,47,,
21.33,17.79,12,48,,
21.17,18.14,12,49,,
21.33,18.49,13,50,,
21.17,18.85,13,51,,
21.33,19.2,13,52,,
21.33,19.56,14,53,,
21.33,19.91,14,54,,
21.17,20.27,14,55,,
21.17,20.62,14,56,,
21.33,20.98,14,57,,
21.17,21.33,14,58,,
21.33,21.68,14,59,,
21.17,22.04,15,60,,
21.33,22.39,15,61,,
21.17,22.74,15,62,,
21.17,23.1,16,63,,
21.17,23.45,16,64,,
21.33,23.81,16,65,,
21.17,24.16,17,66,,
21.17,24.51,17,67,,
21.17,24.86,17,68,,
21.33,25.22,17,69,,
21.17,25.57,17,70,,
21.17,25.93,17,71,,
21.17,26.28,17,72,,
21,26.63,18,73,,
21.17,26.98,18,74,,
21.17,27.33,18,75,,
21.17,27.69,19,76,,
21.17,28.04,19,77,,
21.17,28.39,19,78,,
21.17,28.74,20,79,,
21,29.09,20,80,,
21.17,29.45,20,81,,
21.17,29.8,20,82,,
21.17,30.15,20,83,,
21,30.5,20,84,,
21.17,30.86,20,85,,
21,31.21,21,86,,
21.17,31.56,21,87,,
21.17,31.91,21,88,,
21,32.26,22,89,,
21.17,32.61,22,90,,
21,32.96,22,91,,
21.17,33.32,23,92,,
21,33.67,23,93,,
21.17,34.02,23,94,,
21.17,34.37,23,95,,
21,34.72,24,96,,
21,35.07,24,97,,
21.17,35.43,24,98,,
21,35.78,25,99,,
21,36.13,25,100,,
21.17,36.48,25,101,,
21,36.83,26,102,,
21,37.18,26,103,,
21,37.53,26,104,,
21.17,37.88,26,105,,
21,38.23,26,106,,
21.17,38.58,26,107,,
21,38.93,26,108,,
21,39.28,27,109,,
21,39.63,27,110,,
21.17,39.99,27,111,,
21,40.34,28,112,,
21,40.69,28,113,,
21.17,41.04,28,114,,
21,41.39,29,115,,
21,41.74,29,116,,
21.17,42.09,29,117,,
21,42.44,29,118,,
