value,hydrometer,time
0.16,2,1
0.21,2,2
0.27,2,3
0.32,2,4
0.37,2,5
0.42,2,6
0.48,2,7
0.53,2,8
0.58,2,9
0.64,2,10
0.69,2,11
0.74,2,12
0.8,2,13
0.85,2,14
0.9,2,15
0.96,2,16
1.01,2,17
1.06,2,18
1.12,2,19
1.17,2,20
1.22,2,21
1.27,2,22
1.33,2,23
1.38,2,24
1.43,2,25
1.49,2,26
1.54,2,27
1.59,2,28
1.65,2,29
1.7,2,30
1.75,2,31
1.81,2,32
1.86,2,33
1.91,2,34
1.97,2,35
2.02,2,36
2.07,2,37
2.13,2,38
2.18,2,39
2.23,2,40
2.28,2,41
2.34,2,42
2.39,2,43
2.44,2,44
2.49,2,45
2.55,2,46
2.6,2,47
2.66,2,48
2.71,2,49
2.76,2,50
2.81,2,51
2.87,2,52
2.92,2,53
2.97,2,54
3.02,2,55
3.08,2,56
3.13,2,57
3.18,2,58
3.24,2,59
3.29,2,60
3.34,2,61
3.39,2,62
3.45,2,63
3.5,2,64
3.55,2,65
3.61,2,66
3.66,2,67
3.71,2,68
3.76,2,69
3.82,2,70
3.87,2,71
3.92,2,72
3.97,2,73
4.03,2,74
4.08,2,75
4.13,2,76
4.19,2,77
4.24,2,78
4.29,2,79
4.34,2,80
4.39,2,81
4.45,2,82
4.5,2,83
4.55,2,84
4.61,2,85
4.66,2,86
4.71,2,87
4.76,2,88
4.82,2,89
4.87,2,90
4.92,2,91
4.98,2,92
5.03,2,93
5.08,2,94
5.13,2,95
5.18,2,96
5.24,2,97
5.29,2,98
5.34,2,99
5.39,2,100
5.45,2,101
5.5,2,102
5.55,2,103
5.6,2,104
5.66,2,105
5.71,2,106
5.76,2,107
5.81,2,108
5.86,2,109
5.92,2,110
5.97,2,111
6.02,2,112
6.08,2,113
6.13,2,114
6.18,2,115
6.23,2,116
6.28,2,117
6.34,2,118
6.39,2,119
6.44,2,120
6.49,2,121
6.54,2,122
6.6,2,123
6.65,2,124
6.7,2,125
6.76,2,126
6.81,2,127
6.86,2,128
6.91,2,129
6.96,2,130
7.02,2,131
7.07,2,132
7.12,2,133
7.17,2,134
7.23,2,135
7.28,2,136
7.33,2,137
7.38,2,138
7.44,2,139
7.49,2,140
7.54,2,141
7.59,2,142
7.64,2,143
7.7,2,144
7.75,2,145
7.8,2,146
7.85,2,147
7.91,2,148
7.96,2,149
8.01,2,150
8.06,2,151
8.11,2,152
8.17,2,153
8.22,2,154
8.27,2,155
8.33,2,156
8.38,2,157
8.43,2,158
8.48,2,159
8.54,2,160
8.59,2,161
8.64,2,162
8.69,2,163
8.75,2,164
8.8,2,165
8.85,2,166
8.91,2,167
8.96,2,168
9.01,2,169
9.06,2,170
9.12,2,171
9.17,2,172
9.22,2,173
9.28,2,174
9.33,2,175
9.38,2,176
9.43,2,177
9.49,2,178
9.54,2,179
9.59,2,180
9.64,2,181
9.7,2,182
9.75,2,183
9.8,2,184
9.85,2,185
9.91,2,186
9.96,2,187
10.01,2,188
10.06,2,189
10.12,2,190
10.17,2,191
10.22,2,192
10.28,2,193
10.33,2,194
10.38,2,195
