hydrometer,value,time
1,1,1
1,1,2
1,1,3
1,1,4
1,1,5
1,1,6
1,1,7
1,1,8
1,1,9
1,1,10
1,1,11
1,1,12
1,1,13
1,1,14
1,1,15
1,1,16
1,2,17
1,2,18
1,2,19
1,2,20
1,2,21
1,2,22
1,2,23
1,2,24
1,2,25
1,2,26
1,2,27
1,2,28
1,2,29
1,2,30
1,2,31
1,2,32
1,2,33
1,2,34
1,2,35
1,2,36
1,2,37
1,3,38
1,3,39
1,3,40
1,3,41
1,3,42
1,3,43
1,3,44
1,3,45
1,3,46
1,3,47
1,3,48
1,3,49
1,3,50
1,3,51
1,3,52
1,3,53
1,3,54
1,3,55
1,3,56
1,3,57
1,4,58
1,4,59
1,4,60
1,4,61
1,4,62
1,4,63
1,4,64
1,4,65
1,4,66
1,4,67
1,4,68
1,4,69
1,4,70
1,4,71
1,4,72
1,4,73
1,4,74
1,4,75
1,4,76
1,4,77
1,5,78
1,5,79
1,5,80
1,5,81
1,5,82
1,5,83
1,5,84
1,5,85
1,5,86
1,5,87
1,5,88
1,5,89
1,5,90
1,5,91
1,5,92
1,5,93
1,5,94
1,5,95
1,5,96
1,5,97
1,6,98
1,6,99
1,6,100
1,6,101
1,6,102
1,6,103
1,6,104
1,6,105
1,6,106
1,6,107
1,6,108
1,6,109
1,6,110
1,6,111
1,6,112
1,6,113
1,6,114
1,6,115
1,6,116
1,6,117
1,6,118
1,7,119
1,7,120
1,7,121
1,7,122
1,7,123
1,7,124
1,7,125
1,7,126
1,7,127
1,7,128
1,7,129
1,7,130
1,7,131
1,7,132
1,7,133
1,7,134
1,7,135
1,7,136
1,7,137
1,7,138
1,8,139
1,8,140
1,8,141
1,8,142
1,8,143
1,8,144
1,8,145
1,8,146
1,8,147
1,8,148
1,8,149
1,8,150
1,8,151
1,8,152
1,8,153
1,8,154
1,8,155
1,8,156
1,8,157
1,8,158
1,9,159
1,9,160
1,9,161
1,9,162
1,9,163
1,9,164
1,9,165
1,9,166
1,9,167
1,9,168
1,9,169
1,9,170
1,9,171
1,9,172
1,9,173
1,9,174
1,9,175
1,9,176
1,9,177
1,9,178
1,10,179
1,10,180
1,10,181
1,10,182
1,10,183
1,10,184
1,10,185
1,10,186
1,10,187
1,10,188
1,10,189
1,10,190
1,10,191
1,10,192
1,10,193
1,10,194
1,10,195
1,10,196
1,10,197
1,10,198
1,11,199
1,11,200
1,11,201
1,11,202
1,11,203
1,11,204
1,11,205
1,11,206
1,11,207
1,11,208
1,11,209
1,11,210
1,11,211
1,11,212
1,11,213
1,11,214
1,11,215
1,11,216
1,11,217
1,11,218
1,11,219
1,12,220
1,12,221
1,12,222
1,12,223
1,12,224
1,12,225
1,12,226
1,12,227
1,12,228
1,12,229
1,12,230
1,12,231
1,12,232
1,12,233
1,12,234
1,12,235
1,12,236
1,12,237
1,12,238
1,12,239
1,13,240
1,13,241
1,13,242
1,13,243
1,13,244
1,13,245
1,13,246
1,13,247
1,13,248
1,13,249
1,13,250
1,13,251
1,13,252
1,13,253
1,13,254
1,13,255
1,13,256
1,13,257
1,13,258
1,13,259
1,13,260
1,14,261
1,14,262
1,14,263
1,14,264
1,14,265
1,14,266
1,14,267
1,14,268
1,14,269
1,14,270
1,14,271
1,14,272
1,14,273
1,14,274
1,14,275
1,14,276
1,14,277
1,14,278
1,14,279
1,14,280
1,15,281
1,15,282
1,15,283
1,15,284
1,15,285
1,15,286
1,15,287
1,15,288
1,15,289
1,15,290
1,15,291
1,15,292
1,15,293
1,15,294
1,15,295
1,15,296
1,15,297
1,15,298
1,15,299
1,15,300
1,16,301
1,16,302
1,16,303
1,16,304
1,16,305
1,16,306
1,16,307
1,16,308
1,16,309
1,16,310
1,16,311
1,16,312
1,16,313
1,16,314
1,16,315
1,16,316
1,16,317
1,16,318
1,16,319
1,16,320
1,16,321
1,17,322
1,17,323
1,17,324
1,17,325
1,17,326
1,17,327
1,17,328
1,17,329
1,17,330
1,17,331
1,17,332
1,17,333
1,17,334
1,17,335
1,17,336
1,17,337
1,17,338
1,17,339
1,17,340
1,17,341
1,18,342
1,18,343
1,18,344
1,18,345
1,18,346
1,18,347
1,18,348
1,18,349
1,18,350
1,18,351
1,18,352
1,18,353
1,18,354
1,18,355
1,18,356
1,18,357
1,18,358
1,18,359
1,18,360
1,18,361
1,18,362
1,19,363
1,19,364
1,19,365
1,19,366
1,19,367
1,19,368
1,19,369
1,19,370
1,19,371
1,19,372
1,19,373
1,19,374
1,19,375
1,19,376
1,19,377
1,19,378
1,19,379
1,19,380
1,19,381
1,19,382
1,20,383
1,20,384
1,20,385
1,20,386
1,20,387
1,20,388
1,20,389
1,20,390
1,20,391
1,20,392
1,20,393
1,20,394
1,20,395
1,20,396
1,20,397
1,20,398
1,20,399
1,20,400
1,20,401
1,20,402
1,20,403
1,21,404
1,21,405
1,21,406
1,21,407
1,21,408
1,21,409
1,21,410
1,21,411
1,21,412
1,21,413
1,21,414
1,21,415
1,21,416
1,21,417
1,21,418
1,21,419
1,21,420
1,21,421
1,21,422
1,21,423
1,22,424
1,22,425
1,22,426
1,22,427
1,22,428
1,22,429
1,22,430
1,22,431
1,22,432
1,22,433
1,22,434
1,22,435
1,22,436
1,22,437
1,22,438
1,22,439
1,22,440
1,22,441
1,22,442
1,22,443
1,22,444
1,23,445
1,23,446
1,23,447
1,23,448
1,23,449
1,23,450
1,23,451
1,23,452
1,23,453
1,23,454
1,23,455
1,23,456
1,23,457
1,23,458
1,23,459
1,23,460
1,23,461
1,23,462
1,23,463
1,23,464
1,23,465
1,24,466
1,24,467
1,24,468
1,24,469
1,24,470
1,24,471
1,24,472
1,24,473
1,24,474
1,24,475
1,24,476
1,24,477
1,24,478
1,24,479
1,24,480
1,24,481
1,24,482
1,24,483
1,24,484
1,24,485
1,24,486
1,25,487
1,25,488
1,25,489
1,25,490
1,25,491
1,25,492
1,25,493
1,25,494
1,25,495
1,25,496
1,25,497
1,25,498
1,25,499
1,25,500
1,25,501
1,25,502
1,25,503
1,25,504
1,25,505
1,25,506
1,26,507
1,26,508
1,26,509
1,26,510
1,26,511
1,26,512
1,26,513
1,26,514
1,26,515
1,26,516
1,26,517
1,26,518
1,26,519
1,26,520
1,26,521
1,26,522
1,26,523
1,26,524
1,26,525
1,26,526
1,26,527
1,27,528
1,27,529
1,27,530
1,27,531
1,27,532
1,27,533
1,27,534
1,27,535
1,27,536
1,27,537
1,27,538
1,27,539
1,27,540
1,27,541
1,27,542
1,27,543
1,27,544
1,27,545
1,27,546
1,27,547
1,27,548
1,28,549
1,28,550
1,28,551
1,28,552
1,28,553
1,28,554
1,28,555
1,28,556
1,28,557
1,28,558
1,28,559
1,28,560
1,28,561
1,28,562
1,28,563
1,28,564
1,28,565
1,28,566
1,28,567
1,28,568
1,28,569
1,29,570
1,29,571
1,29,572
1,29,573
1,29,574
1,29,575
1,29,576
1,29,577
1,29,578
1,29,579
1,29,580
1,29,581
1,29,582
1,29,583
1,29,584
1,29,585
1,29,586
1,29,587
1,29,588
1,29,589
1,30,590
1,30,591
1,30,592
1,30,593
1,30,594
1,30,595
1,30,596
1,30,597
1,30,598
1,30,599
1,30,600
1,30,601
1,30,602
1,30,603
1,30,604
1,30,605
1,30,606
1,30,607
1,30,608
1,30,609
1,30,610
1,31,611
1,31,612
1,31,613
1,31,614
1,31,615
1,31,616
1,31,617
1,31,618
1,31,619
1,31,620
1,31,621
1,31,622
1,31,623
1,31,624
1,31,625
1,31,626
1,31,627
1,31,628
1,31,629
1,31,630
1,31,631
1,32,632
1,32,633
1,32,634
1,32,635
1,32,636
1,32,637
1,32,638
1,32,639
1,32,640
1,32,641
1,32,642
1,32,643
1,32,644
1,32,645
1,32,646
1,32,647
1,32,648
1,32,649
1,32,650
1,32,651
1,32,652
1,33,653
1,33,654
1,33,655
1,33,656
1,33,657
1,33,658
1,33,659
1,33,660
1,33,661
1,33,662
1,33,663
1,33,664
1,33,665
1,33,666
1,33,667
1,33,668
1,33,669
1,33,670
1,33,671
1,33,672
1,33,673
1,34,674
1,34,675
1,34,676
1,34,677
1,34,678
1,34,679
1,34,680
1,34,681
1,34,682
1,34,683
1,34,684
1,34,685
1,34,686
1,34,687
1,34,688
1,34,689
1,34,690
1,34,691
1,34,692
1,34,693
1,34,694
1,35,695
1,35,696
1,35,697
1,35,698
1,35,699
1,35,700
1,35,701
1,35,702
1,35,703
1,35,704
1,35,705
1,35,706
1,35,707
1,35,708
1,35,709
1,35,710
1,35,711
1,35,712
1,35,713
1,35,714
1,36,715
1,36,716
1,36,717
1,36,718
1,36,719
1,36,720
1,36,721
1,36,722
1,36,723
1,36,724
1,36,725
1,36,726
1,36,727
1,36,728
1,36,729
1,36,730
1,36,731
1,36,732
1,36,733
1,36,734
1,36,735
1,36,736
1,37,737
1,37,738
1,37,739
1,37,740
1,37,741
1,37,742
1,37,743
1,37,744
1,37,745
1,37,746
1,37,747
1,37,748
1,37,749
1,37,750
1,37,751
1,37,752
1,37,753
1,37,754
1,37,755
