id,hydrometer,time,value
1,1,1,1.07
2,1,2,1.42
3,1,3,1.78
4,1,4,2.14
5,1,5,2.49
6,1,6,2.85
7,1,7,3.21
8,1,8,3.56
9,1,9,3.92
10,1,10,4.28
11,1,11,4.63
12,1,12,4.99
13,1,13,5.34
14,1,14,5.7
15,1,15,6.06
16,1,16,6.41
17,1,17,6.77
18,1,18,7.13
19,1,19,7.48
20,1,20,7.84
21,1,21,8.19
22,1,22,8.55
23,1,23,8.91
24,1,24,9.26
25,1,25,9.62
26,1,26,9.97
27,1,27,10.33
28,1,28,10.69
29,1,29,11.04
30,1,30,11.4
31,1,31,11.75
32,1,32,12.11
33,1,33,12.46
34,1,34,12.82
35,1,35,13.17
36,1,36,13.53
37,1,37,13.88
38,1,38,14.24
39,1,39,14.59
40,1,40,14.95
41,1,41,15.3
42,1,42,15.66
43,1,43,16.01
44,1,44,16.37
45,1,45,16.72
46,1,46,17.07
47,1,47,17.43
48,1,48,17.79
49,1,49,18.14
50,1,50,18.49
51,1,51,18.85
52,1,52,19.2
53,1,53,19.56
54,1,54,19.91
55,1,55,20.27
56,1,56,20.62
57,1,57,20.98
58,1,58,21.33
59,1,59,21.68
60,1,60,22.04
61,1,61,22.39
62,1,62,22.74
63,1,63,23.1
64,1,64,23.45
65,1,65,23.81
66,1,66,24.16
67,1,67,24.51
68,1,68,24.86
69,1,69,25.22
70,1,70,25.57
71,1,71,25.93
72,1,72,26.28
73,1,73,26.63
74,1,74,26.98
75,1,75,27.33
76,1,76,27.69
77,1,77,28.04
78,1,78,28.39
79,1,79,28.74
80,1,80,29.09
81,1,81,29.45
82,1,82,29.8
83,1,83,30.15
84,1,84,30.5
85,1,85,30.86
86,1,86,31.21
87,1,87,31.56
88,1,88,31.91
89,1,89,32.26
90,1,90,32.61
91,1,91,32.96
92,1,92,33.32
93,1,93,33.67
94,1,94,34.02
95,1,95,34.37
96,1,96,34.72
97,1,97,35.07
98,1,98,35.43
99,1,99,35.78
100,1,100,36.13
101,1,101,36.48
102,1,102,36.83
103,1,103,37.18
104,1,104,37.53
105,1,105,37.88
106,1,106,38.23
107,1,107,38.58
108,1,108,38.93
109,1,109,39.28
110,1,110,39.63
111,1,111,39.99
112,1,112,40.34
113,1,113,40.69
114,1,114,41.04
115,1,115,41.39
116,1,116,41.74
117,1,117,42.09
118,1,118,42.44
119,1,119,42.79
120,1,120,43.14
121,1,121,43.49
122,1,122,43.84
123,1,123,44.19
124,1,124,44.55
125,1,125,44.9
126,1,126,45.25
127,1,127,45.6
128,1,128,45.95
129,1,129,46.3
130,1,130,46.65
131,1,131,47.01
132,1,132,47.35
133,1,133,47.7
134,1,134,48.05
135,1,135,48.4
136,1,136,48.75
137,1,137,49.1
138,1,138,49.45
139,1,139,49.8
140,1,140,50.15
141,1,141,50.5
142,1,142,50.85
143,1,143,51.2
144,1,144,51.55
145,1,145,51.9
146,1,146,52.25
147,1,147,52.6
148,1,148,52.95
149,1,149,53.3
150,1,150,53.65
151,1,151,54.01
152,1,152,54.35
153,1,153,54.7
154,1,154,55.05
155,1,155,55.4
156,1,156,55.75
157,1,157,56.1
158,1,158,56.45
159,1,159,56.8
160,1,160,57.15
161,1,161,57.5
162,1,162,57.85
163,1,163,58.2
164,1,164,58.55
165,1,165,58.9
166,1,166,59.25
167,1,167,59.59
168,1,168,59.94
169,1,169,60.29
170,1,170,60.64
171,1,171,60.99
172,1,172,61.34
173,1,173,61.69
174,1,174,62.04
175,1,175,62.39
176,1,176,62.74
177,1,177,63.09
178,1,178,63.44
179,1,179,63.79
180,1,180,64.14
181,1,181,64.49
182,1,182,64.84
183,1,183,65.18
184,1,184,65.53
185,1,185,65.88
186,1,186,66.23
187,1,187,66.58
188,1,188,66.93
189,1,189,67.28
190,1,190,67.63
191,1,191,67.97
192,1,192,68.32
193,1,193,68.67
194,1,194,69.02
195,1,195,69.37
196,1,196,69.72
197,1,197,70.07
198,1,198,70.42
199,1,199,70.76
200,1,200,71.11
201,1,201,71.46
202,1,202,71.81
203,1,203,72.16
204,1,204,72.51
205,1,205,72.86
206,1,206,73.21
207,1,207,73.56
208,1,208,73.9
209,1,209,74.25
210,1,210,74.6
211,1,211,74.95
212,1,212,75.3
213,1,213,75.65
214,1,214,76.01
215,1,215,76.34
216,1,216,76.69
217,1,217,77.04
218,1,218,77.39
219,1,219,77.74
220,1,220,78.09
221,1,221,78.43
222,1,222,78.78
223,1,223,79.13
224,1,224,79.48
225,1,225,79.82
226,1,226,80.17
227,1,227,80.52
228,1,228,80.87
229,1,229,81.22
230,1,230,81.57
231,1,231,81.91
232,1,232,82.26
233,1,233,82.61
234,1,234,82.96
235,1,235,83.3
236,1,236,83.65
237,1,237,84.01
238,1,238,84.34
239,1,239,84.69
240,1,240,85.04
241,1,241,85.39
242,1,242,85.73
243,1,243,86.08
244,1,244,86.42
245,1,245,86.77
246,1,246,87.12
247,1,247,87.47
248,1,248,87.81
249,1,249,88.16
250,1,250,88.51
251,1,251,88.86
252,1,252,89.2
253,1,253,89.55
254,1,254,89.9
255,1,255,90.24
256,1,256,90.59
257,1,257,90.94
258,1,258,91.29
259,1,259,91.63
260,1,260,91.98
261,1,261,92.32
262,1,262,92.67
263,1,263,93.02
264,1,264,93.37
265,1,265,93.71
266,1,266,94.06
267,1,267,94.41
268,1,268,94.75
269,1,269,95.1
270,1,270,95.45
271,1,271,95.79
272,1,272,96.14
273,1,273,96.48
274,1,274,96.83
275,1,275,97.18
276,1,276,97.52
277,1,277,97.87
278,1,278,98.22
279,1,279,98.56
280,1,280,98.91
281,1,281,99.26
282,1,282,99.61
283,1,283,99.95
284,1,284,100.3
285,1,285,100.64
286,1,286,100.99
287,1,287,101.34
288,1,288,101.69
289,1,289,102.03
290,1,290,102.38
291,1,291,102.72
292,1,292,103.07
293,1,293,103.42
294,1,294,103.76
295,1,295,104.11
296,1,296,104.46
297,1,297,104.81
298,1,298,105.15
299,1,299,105.5
300,1,300,105.84
301,1,301,106.19
302,1,302,106.54
303,1,303,106.88
304,1,304,107.23
305,1,305,107.57
306,1,306,107.92
307,1,307,108.27
308,1,308,108.61
309,1,309,108.96
310,1,310,109.31
311,1,311,109.65
312,1,312,110.01
313,1,313,110.35
314,1,314,110.69
315,1,315,111.04
316,1,316,111.39
317,1,317,111.73
318,1,318,112.07
319,1,319,112.42
320,1,320,112.77
321,1,321,113.11
322,1,322,113.46
323,1,323,113.81
324,1,324,114.15
325,1,325,114.5
326,1,326,114.84
327,1,327,115.19
328,1,328,115.53
329,1,329,115.88
330,1,330,116.22
331,1,331,116.57
332,1,332,116.92
333,1,333,117.26
334,1,334,117.61
335,1,335,117.95
336,1,336,118.3
337,1,337,118.64
338,1,338,118.99
339,1,339,119.33
340,1,340,119.68
341,1,341,120.02
342,1,342,120.37
343,1,343,120.72
344,1,344,121.06
345,1,345,121.41
346,1,346,121.75
347,1,347,122.1
348,1,348,122.44
349,1,349,122.79
350,2,1,0
351,2,2,1
352,2,3,1
353,2,4,1
354,2,5,2
355,2,6,2
356,2,7,2
357,2,8,3
358,2,9,3
359,2,10,3
360,2,11,4
361,2,12,4
362,2,13,4
363,2,14,4
364,2,15,4
365,2,16,4
366,2,17,4
367,2,18,5
368,2,19,5
369,2,20,5
370,2,21,6
371,2,22,6
372,2,23,6
373,2,24,7
374,2,25,7
375,2,26,7
376,2,27,7
377,2,28,7
378,2,29,7
379,2,30,7
380,2,31,8
381,2,32,8
382,2,33,8
383,2,34,9
384,2,35,9
385,2,36,9
386,2,37,10
387,2,38,10
388,2,39,10
389,2,40,11
390,2,41,11
391,2,42,11
392,2,43,11
393,2,44,11
394,2,45,11
395,2,46,11
396,2,47,12
397,2,48,12
398,2,49,12
399,2,50,13
400,2,51,13
401,2,52,13
402,2,53,14
403,2,54,14
404,2,55,14
405,2,56,14
406,2,57,14
407,2,58,14
408,2,59,14
409,2,60,15
410,2,61,15
411,2,62,15
412,2,63,16
413,2,64,16
414,2,65,16
415,2,66,17
416,2,67,17
417,2,68,17
418,2,69,17
419,2,70,17
420,2,71,17
421,2,72,17
422,2,73,18
423,2,74,18
424,2,75,18
425,2,76,19
426,2,77,19
427,2,78,19
428,2,79,20
429,2,80,20
430,2,81,20
431,2,82,20
432,2,83,20
433,2,84,20
434,2,85,20
435,2,86,21
436,2,87,21
437,2,88,21
438,2,89,22
439,2,90,22
440,2,91,22
441,2,92,23
442,2,93,23
443,2,94,23
444,2,95,23
445,2,96,24
446,2,97,24
447,2,98,24
448,2,99,25
449,2,100,25
450,2,101,25
451,2,102,26
452,2,103,26
453,2,104,26
454,2,105,26
455,2,106,26
456,2,107,26
457,2,108,26
458,2,109,27
459,2,110,27
460,2,111,27
461,2,112,28
462,2,113,28
463,2,114,28
464,2,115,29
465,2,116,29
466,2,117,29
467,2,118,29
468,2,119,29
469,2,120,29
470,2,121,29
471,2,122,30
472,2,123,30
473,2,124,30
474,2,125,31
475,2,126,31
476,2,127,31
477,2,128,31
478,2,129,31
479,2,130,31
480,2,131,31
481,2,132,32
482,2,133,32
483,2,134,32
484,2,135,33
485,2,136,33
486,2,137,33
487,2,138,34
488,2,139,34
489,2,140,34
490,2,141,34
491,2,142,34
492,2,143,34
493,2,144,34
494,2,145,35
495,2,146,35
496,2,147,35
497,2,148,36
498,2,149,36
499,2,150,36
500,2,151,36
501,2,152,36
502,2,153,36
503,2,154,36
504,2,155,37
505,2,156,37
506,2,157,37
507,2,158,38
508,2,159,38
509,2,160,38
510,2,161,39
511,2,162,39
512,2,163,39
513,2,164,39
514,2,165,39
515,2,166,39
516,2,167,39
517,2,168,40
518,2,169,40
519,2,170,40
520,2,171,41
521,2,172,41
522,2,173,41
523,2,174,41
524,2,175,41
525,2,176,41
526,2,177,41
527,2,178,42
528,2,179,42
529,2,180,42
530,2,181,43
531,2,182,43
532,2,183,43
